flickr_image_id, questions, keyword
30587802905,When were these buildings built?---What is this kind of architecture called?---Who designed this building?---What city are these buildings in?---How long ago were these built?---Does anyone live in these buildings?---Have the interiors been preserved as well?---How tall is the round tower in the back,Tower 42
29138123756,What kind of trees are those---Is that a building or is it a hill---Where is this,Domus Aurea
14615680570,How tall is that door?---Where can I get a jacket like that?---What is that white appliance in the bottom left?---Whose house is this?---Is this someone's laundry room?---What are those bottles on the shelf?,Miller Park
21224811385,What material is the blue railing made of---Is that a hiking trail---Can I bring my dog there,Kylemore Abbey
10416790776,What motorcycle brand is this---Is this a scooter or a motorcycle---Can I purchase this,Primrose Hill
224343364,When was this built?---Who built this?---What type of architecture is this?---When was this built---How tall is that---Can I go there for free---How tall is it?---When was it built?---Where is it located?,Westminster Cathedral
35707492060,When was this built?---Where is this?---How tall is this?,York Minster
39531659274,Is this market expensive---What city is this in---Is it open late---Is there food there?---Do they serve alcohol there?---Do they serve coffee there?---What are the operating hours of this market---What is the address of this market---What is the contact information for this market,Camden Market
29422637143,When was this mall built?---What do they sell here?---How many people visit here a day?---Is it free to go here?---What state is this in?---Is this a public space?---What shops are here?---How do I get here?---Where is this located?---Is it really bright there?---Is this a good place to watch the stars?,Fremont Street Experience
8115193654,How tall are these mountains---Who cold is this place---Where is this---What's the name of this mountain?---How tall is this mountain?---Where is this?,Khardung La
5308066819,What beach is this?---Where is this?---Is there a pattern on the sand?---Does this beach have hours?---None---None---What country is this in?---Is it open to the public?---Is the weather warm here,Santa Monica Pier
10149966213,Who painted this?---Who is featured in this art piece?---How old is this wall decoration?---Who painted this?---Where is this located?---How long ago was this painted?---Is this a scene from a religious story?---Who is the figure in the center?---Who is sitting at the table?---What is the name of this painting?---Who painted this?---Where can I see this painting?,paintings
8324298904,Where is this tower located?---How tall is this?---What year was this constructed?---Where is this?---When was this made?---Is it open to the public?,Canton Tower
5687805386,Is this garden also a restaurant?---Is this a public space?---Where is this located---Where is this---How big is this place---What type of meals are served here---How do you set up a rooftop garden?---How do roof gardens work?---Why are roof gardens good?,roof garden
21525438580,Is parking there free---Can I get there on public transit---Are tours offered there---How long is this wall?---How much did it cost to build?---Is it open to the public?---Is this structure made from stone?---What year was this structure made?---Is this a popular tourist destination?,Caernarfon Castle
11907618633,What is this building called?---Where is this building located?---What is this building used for?---What is this kind of architecture called?---Who uses this building?---Where is this?---Is this open to the public?---Is this free to visit?,mausoleum
6176313742,How tall is that middle light house---Is that a photo or a painting---What material is the middle light house made of---What is this edifice?---Is there good fishing in this lake?---When is the best time to visit here?,Glenfinnan Viaduct
14247082860,When was this place completed?---Can I get a map of this building?---When does this place close tomorrow?---How many people have their name on display here?,Yad Vashem
1536317268,What is being made?---What type of tool is being used?---Are gloves necessary for this type of work?---Where is that chisel made?---How much does that air chisel cost?---Where can I buy that air chisel?,bronze sculpture
25027314886,What street is this?---Where is this?---What is that sign for?---What's the logo on that sign?,Skogskyrkogården
10410417445,What is the significance of the Temple Mount?---Can you visit Temple Mount?---What is on the Temple Mount today?,Temple Mount
20420938039,How much does the Eastern State Penitentiary cost?---Who was held in Eastern State Penitentiary?---Is Eastern State Penitentiary open to the public?,Eastern State Penitentiary
37840174596,Where is this located?---Who built this?---When was it built?,Rosslyn Chapel
14000448641,What kind of flower is this?---Where do these flowers grow?---What year do these flowers usually bloom?---When kind of flower is that---Can I get these at a store---Are these local---what kind of flower is this---where does this flower grow---what season does this flower grow in,lagoon
9432495346,How many people does this stadium hold?---Does that ceiling open up?---Does this place host any other events?---how many people are in this stadium---what sports are played at this stadium---who paid for this stadium---What sports do they play in this field?---Are there any concerts held in this field?---How much is it to get into here?,Chase Field
1923029706,Where is this---Can I live there---How much does that cost---Do people live here?---Can I enter this building?---What's the address of this building?,oast house
37425658731,When were those statues made?---What does each of those stand for?---How heavy is one of those statues?,Tian Tan Buddha
15485629946,Where is this?---What did this used to say?---What is this plaque made of?---What is that metal piece in the middle  for---How old is that---What kind of stone is that embedded in,Mount Whitney
29000405146,Who is the man in the picture in the middle---What culture do the little lion statues on the fireplace come from---Where are these paintings kept,Blenheim Palace
